data:    microsoft.insights/autoscalesettings                                West US,East US,North Europe,West Europe,East Asia,Southeast Asia,Japan East,Japan West,North Central US,South Central US,East US 2,Central US,Brazil South
data:    microsoft.insights/locations                                        East US                                                                                                                                                    
data:    microsoft.insights/automatedExportSettings                          West US,East US,North Europe,West Europe,East Asia,Southeast Asia,Japan East,Japan West,North Central US,South Central US,East US 2,Central US,Brazil South
data:    microsoft.insights/diagnosticSettings                               West US,East US,North Europe,West Europe,East Asia,Southeast Asia,Japan East,Japan West,North Central US,South Central US,East US 2,Central US,Brazil South
data:    microsoft.insights/metricDefinitions                                West US,East US,North Europe,West Europe,East Asia,Southeast Asia,Japan East,Japan West,North Central US,South Central US,East US 2,Central US,Brazil South
data:    microsoft.insights/logDefinitions                                   West US,East US,North Europe,West Europe,East Asia,Southeast Asia,Japan East,Japan West,North Central US,South Central US,East US 2,Central US,Brazil South
data:    Microsoft.KeyVault/vaults                                           North Central US,East US,North Europe,West Europe,East Asia,Southeast Asia,East US 2,Central US,South Central US,West US,Japan East,Japan West,Brazil South
data:    Microsoft.KeyVault/vaults/secrets                                   North Central US,East US,North Europe,West Europe,East Asia,Southeast Asia,East US 2,Central US,South Central US,West US,Japan East,Japan West,Brazil South
data:    Microsoft.MobileEngagement/appcollections                           Central US,North Europe                                                                                                                                    
data:    Microsoft.MobileEngagement/appcollections/apps                      Central US,North Europe                                                                                                                                    
data:    Microsoft.MobileEngagement/checkappcollectionnameavailability       Central US,North Europe                                                                                                                                    
data:    Microsoft.MobileEngagement/supportedplatforms                       Central US,North Europe                                                                                                                                    
data:    Microsoft.Network/virtualNetworks                                   West US,East US,North Europe,West Europe,East Asia,Southeast Asia,North Central US,South Central US,Central US,East US 2,Japan East,Japan West,Brazil South
data:    Microsoft.Network/publicIPAddresses                                 West US,East US,North Europe,West Europe,East Asia,Southeast Asia,North Central US,South Central US,Central US,East US 2,Japan East,Japan West,Brazil South
data:    Microsoft.Network/networkInterfaces                                 West US,East US,North Europe,West Europe,East Asia,Southeast Asia,North Central US,South Central US,Central US,East US 2,Japan East,Japan West,Brazil South
data:    Microsoft.Network/loadBalancers                                     West US,East US,North Europe,West Europe,East Asia,Southeast Asia,North Central US,South Central US,Central US,East US 2,Japan East,Japan West,Brazil South
data:    Microsoft.Network/networkSecurityGroups                             West US,East US,North Europe,West Europe,East Asia,Southeast Asia,North Central US,South Central US,Central US,East US 2,Japan East,Japan West,Brazil South
data:    Microsoft.Network/routeTables                                       West US,East US,North Europe,West Europe,East Asia,Southeast Asia,North Central US,South Central US,Central US,East US 2,Japan East,Japan West,Brazil South
data:    Microsoft.Network/virtualNetworkGateways                            West US,East US,North Europe,West Europe,East Asia,Southeast Asia,North Central US,South Central US,Central US,East US 2,Japan East,Japan West,Brazil South
data:    Microsoft.Network/localNetworkGateways                              West US,East US,North Europe,West Europe,East Asia,Southeast Asia,North Central US,South Central US,Central US,East US 2,Japan East,Japan West,Brazil South
data:    Microsoft.Network/connections                                       West US,East US,North Europe,West Europe,East Asia,Southeast Asia,North Central US,South Central US,Central US,East US 2,Japan East,Japan West,Brazil South
data:    Microsoft.Network/applicationGateways                               West US,East US,North Europe,West Europe,East Asia,Southeast Asia,North Central US,South Central US,Central US,East US 2,Japan East,Japan West,Brazil South
data:    Microsoft.Network/expressRouteCircuits                              West US,East US,North Europe,West Europe,East Asia,Southeast Asia,North Central US,South Central US,Central US,East US 2,Japan East,Japan West,Brazil South
data:    Microsoft.Network/dnszones                                          global                                                                                                                                                     
data:    Microsoft.Network/dnszones/A                                        global                                                                                                                                                     
data:    Microsoft.Network/dnszones/AAAA                                     global                                                                                                                                                     
data:    Microsoft.Network/dnszones/CNAME                                    global                                                                                                                                                     
data:    Microsoft.Network/dnszones/PTR                                      global                                                                                                                                                     
data:    Microsoft.Network/dnszones/MX                                       global                                                                                                                                                     
data:    Microsoft.Network/dnszones/TXT                                      global                                                                                                                                                     
data:    Microsoft.Network/dnszones/SRV                                      global                                                                                                                                                     
data:    Microsoft.Network/trafficmanagerprofiles                            global                                                                                                                                                     
data:    Microsoft.Network/checkTrafficManagerNameAvailability               global                                                                                                                                                     
data:    Microsoft.OperationalInsights/workspaces                            East US,West Europe                                                                                                                                        
data:    Microsoft.OperationalInsights/linkTargets                           East US                                                                                                                                                    
data:    Microsoft.Sql/operations                                            West Europe,South Central US,East US 2,Central US,North Central US,West US,East US,East Asia,Southeast Asia,Japan West,Japan East,North Europe,Brazil South
data:    Microsoft.Sql/locations                                             West Europe,South Central US,East US 2,Central US,North Central US,West US,East US,East Asia,Southeast Asia,Japan West,Japan East,North Europe,Brazil South
data:    Microsoft.Sql/locations/capabilities                                West Europe,South Central US,East US 2,Central US,North Central US,West US,East US,East Asia,Southeast Asia,Japan West,Japan East,North Europe,Brazil South
data:    Microsoft.Sql/checkNameAvailability                                 West Europe,South Central US,East US 2,Central US,North Central US,West US,East US,East Asia,Southeast Asia,Japan West,Japan East,North Europe,Brazil South
data:    Microsoft.Sql/servers                                               West Europe,South Central US,East US 2,Central US,North Central US,West US,East US,East Asia,Southeast Asia,Japan West,Japan East,North Europe,Brazil South
data:    Microsoft.Sql/servers/databases                                     West Europe,South Central US,East US 2,Central US,North Central US,West US,East US,East Asia,Southeast Asia,Japan West,Japan East,North Europe,Brazil South
data:    Microsoft.Sql/servers/serviceObjectives                             West Europe,South Central US,East US 2,Central US,North Central US,West US,East US,East Asia,Southeast Asia,Japan West,Japan East,North Europe,Brazil South
data:    Microsoft.Sql/servers/administrators                                West Europe,South Central US,East US 2,Central US,North Central US,West US,East US,East Asia,Southeast Asia,Japan West,Japan East,North Europe,Brazil South
data:    Microsoft.Sql/servers/administratorOperationResults                 West Europe,South Central US,East US 2,Central US,North Central US,West US,East US,East Asia,Southeast Asia,Japan West,Japan East,North Europe,Brazil South
data:    Microsoft.Sql/servers/restorableDroppedDatabases                    West Europe,South Central US,East US 2,Central US,North Central US,West US,East US,East Asia,Southeast Asia,Japan West,Japan East,North Europe,Brazil South
data:    Microsoft.Sql/servers/recoverableDatabases                          West Europe,South Central US,East US 2,Central US,North Central US,West US,East US,East Asia,Southeast Asia,Japan West,Japan East,North Europe,Brazil South
data:    Microsoft.Sql/servers/import                                        West Europe,South Central US,East US 2,Central US,North Central US,West US,East US,East Asia,Southeast Asia,Japan West,Japan East,North Europe,Brazil South
data:    Microsoft.Sql/servers/importExportOperationResults                  West Europe,South Central US,East US 2,Central US,North Central US,West US,East US,East Asia,Southeast Asia,Japan West,Japan East,North Europe,Brazil South
data:    Microsoft.Sql/servers/operationResults                              West Europe,South Central US,East US 2,Central US,North Central US,West US,East US,East Asia,Southeast Asia,Japan West,Japan East,North Europe,Brazil South
data:    Microsoft.Sql/servers/firewallrules                                 West Europe,South Central US,East US 2,Central US,North Central US,West US,East US,East Asia,Southeast Asia,Japan West,Japan East,North Europe,Brazil South
data:    Microsoft.Sql/servers/databaseSecurityPolicies                      West Europe,South Central US,East US 2,Central US,North Central US,West US,East US,East Asia,Southeast Asia,Japan West,Japan East,North Europe,Brazil South
data:    Microsoft.Sql/servers/databaseSecurityMetrics                       West Europe,South Central US,East US 2,Central US,North Central US,West US,East US,East Asia,Southeast Asia,Japan West,Japan East,North Europe,Brazil South
data:    Microsoft.Sql/servers/auditingPolicies                              West Europe,South Central US,East US 2,Central US,North Central US,West US,East US,East Asia,Southeast Asia,Japan West,Japan East,North Europe,Brazil South
data:    Microsoft.Sql/servers/recommendedElasticPools                       West Europe,South Central US,East US 2,Central US,North Central US,West US,East US,East Asia,Southeast Asia,Japan West,Japan East,North Europe,Brazil South
data:    Microsoft.Sql/servers/databases/auditingPolicies                    West Europe,South Central US,East US 2,Central US,North Central US,West US,East US,East Asia,Southeast Asia,Japan West,Japan East,North Europe,Brazil South
data:    Microsoft.Sql/servers/databases/connectionPolicies                  West Europe,South Central US,East US 2,Central US,North Central US,West US,East US,East Asia,Southeast Asia,Japan West,Japan East,North Europe,Brazil South
data:    Microsoft.Sql/servers/databases/securityMetrics                     West Europe,South Central US,East US 2,Central US,North Central US,West US,East US,East Asia,Southeast Asia,Japan West,Japan East,North Europe,Brazil South
data:    Microsoft.Sql/servers/databases/dataMaskingPolicies                 West Europe,South Central US,East US 2,Central US,North Central US,West US,East US,East Asia,Southeast Asia,Japan West,Japan East,North Europe,Brazil South
data:    Microsoft.Sql/servers/databases/dataMaskingPolicies/rules           West Europe,South Central US,East US 2,Central US,North Central US,West US,East US,East Asia,Southeast Asia,Japan West,Japan East,North Europe,Brazil South
data:    Microsoft.Sql/servers/resourcepools                                 West Europe,South Central US,East US 2,Central US,North Central US,West US,East US,East Asia,Southeast Asia,Japan West,Japan East,North Europe,Brazil South
data:    Microsoft.Sql/servers/elasticpools                                  West Europe,South Central US,East US 2,Central US,North Central US,West US,East US,East Asia,Southeast Asia,Japan West,Japan East,North Europe,Brazil South
data:    Microsoft.Sql/servers/usages                                        West Europe,South Central US,East US 2,Central US,North Central US,West US,East US,East Asia,Southeast Asia,Japan West,Japan East,North Europe,Brazil South
data:    Microsoft.Sql/servers/databases/metricDefinitions                   North Central US,South Central US,East US,East US 2,West US,Central US,East Asia,Southeast Asia,North Europe,West Europe,Japan East,Japan West,Brazil South
data:    Microsoft.Sql/servers/databases/metrics                             North Central US,South Central US,East US,East US 2,West US,Central US,East Asia,Southeast Asia,North Europe,West Europe,Japan East,Japan West,Brazil South
data:    Microsoft.Sql/servers/elasticpools/metrics                          North Central US,South Central US,East US,East US 2,West US,Central US,East Asia,North Europe,West Europe,Japan East,Japan West,Brazil South,Southeast Asia
data:    Microsoft.Sql/servers/elasticpools/metricdefinitions                North Central US,South Central US,East US,East US 2,West US,Central US,East Asia,North Europe,West Europe,Japan East,Japan West,Brazil South,Southeast Asia
data:    Microsoft.Sql/servers/databases/topQueries                          West Europe,South Central US,East US 2,Central US,North Central US,West US,East US,East Asia,Southeast Asia,Japan West,Japan East,North Europe,Brazil South
data:    Microsoft.Sql/servers/databases/topQueries/queryText                West Europe,South Central US,East US 2,Central US,North Central US,West US,East US,East Asia,Southeast Asia,Japan West,Japan East,North Europe,Brazil South
data:    Microsoft.Storage/storageAccounts                                   East US,East US 2,West US,West Europe,East Asia,Southeast Asia,Japan East,Japan West,North Central US,South Central US,Central US,North Europe,Brazil South
data:    Microsoft.Storage/storageAccounts/services                          East US,West US,West Europe,North Europe,East Asia,Southeast Asia,Japan East,Japan West,North Central US,South Central US,East US 2,Central US,Brazil South
data:    Microsoft.Storage/storageAccounts/services/metricDefinitions        East US,West US,West Europe,North Europe,East Asia,Southeast Asia,Japan East,Japan West,North Central US,South Central US,East US 2,Central US,Brazil South
data:    Microsoft.VisualStudio/account                                      North Central US,South Central US,East US,West US,Central US,North Europe,West Europe,East Asia,Southeast Asia,Japan East,Japan West,Brazil South          
data:    Microsoft.VisualStudio/account/project                              North Central US,South Central US,East US,West US,Central US,North Europe,West Europe,East Asia,Southeast Asia,Japan East,Japan West,Brazil South          
data:    Microsoft.Web/sites/extensions                                      Brazil South,East Asia,East US,Japan East,Japan West,North Central US,North Europe,South Central US,West Europe,West US,Southeast Asia,Central US,East US 2
data:    Microsoft.Web/sites/slots/extensions                                Brazil South,East Asia,East US,Japan East,Japan West,North Central US,North Europe,South Central US,West Europe,West US,Southeast Asia,Central US,East US 2
data:    Microsoft.Web/sites/instances                                       Brazil South,East Asia,East US,Japan East,Japan West,North Central US,North Europe,South Central US,West Europe,West US,Southeast Asia,Central US,East US 2
data:    Microsoft.Web/sites/slots/instances                                 Brazil South,East Asia,East US,Japan East,Japan West,North Central US,North Europe,South Central US,West Europe,West US,Southeast Asia,Central US,East US 2
data:    Microsoft.Web/sites/instances/extensions                            Brazil South,East Asia,East US,Japan East,Japan West,North Central US,North Europe,South Central US,West Europe,West US,Southeast Asia,Central US,East US 2
data:    Microsoft.Web/sites/slots/instances/extensions                      Brazil South,East Asia,East US,Japan East,Japan West,North Central US,North Europe,South Central US,West Europe,West US,Southeast Asia,Central US,East US 2
data:    Microsoft.Web/publishingUsers                                       Brazil South,East Asia,East US,Japan East,Japan West,North Central US,North Europe,South Central US,West Europe,West US,Southeast Asia,Central US,East US 2
data:    Microsoft.Web/ishostnameavailable                                   Brazil South,East Asia,East US,Japan East,Japan West,North Central US,North Europe,South Central US,West Europe,West US,Southeast Asia,Central US,East US 2
data:    Microsoft.Web/sourceControls                                        Brazil South,East Asia,East US,Japan East,Japan West,North Central US,North Europe,South Central US,West Europe,West US,Southeast Asia,Central US,East US 2
data:    Microsoft.Web/availableStacks                                       Brazil South,East Asia,East US,Japan East,Japan West,North Central US,North Europe,South Central US,West Europe,West US,Southeast Asia,Central US,East US 2
data:    Microsoft.Web/listSitesAssignedToHostName                           Brazil South,East Asia,East US,Japan East,Japan West,North Central US,North Europe,South Central US,West Europe,West US,Southeast Asia,Central US,East US 2
data:    Microsoft.Web/sites/hostNameBindings                                Brazil South,East Asia,East US,Japan East,Japan West,North Central US,North Europe,South Central US,West Europe,West US,Southeast Asia,Central US,East US 2
data:    Microsoft.Web/sites/slots/hostNameBindings                          Brazil South,East Asia,East US,Japan East,Japan West,North Central US,North Europe,South Central US,West Europe,West US,Southeast Asia,Central US,East US 2
data:    Microsoft.Web/operations                                            Brazil South,East Asia,East US,Japan East,Japan West,North Central US,North Europe,South Central US,West Europe,West US,Southeast Asia,Central US,East US 2
data:    Microsoft.Web/certificates                                          Brazil South,East Asia,East US,Japan East,Japan West,North Central US,North Europe,South Central US,West Europe,West US,Southeast Asia,Central US,East US 2
data:    Microsoft.Web/serverFarms                                           Brazil South,East Asia,East US,Japan East,Japan West,North Central US,North Europe,South Central US,West Europe,West US,Southeast Asia,Central US,East US 2
data:    Microsoft.Web/sites                                                 Brazil South,East Asia,East US,Japan East,Japan West,North Central US,North Europe,South Central US,West Europe,West US,Southeast Asia,Central US,East US 2
data:    Microsoft.Web/sites/slots                                           Brazil South,East Asia,East US,Japan East,Japan West,North Central US,North Europe,South Central US,West Europe,West US,Southeast Asia,Central US,East US 2
data:    Microsoft.Web/sites/premieraddons                                   Brazil South,East Asia,East US,Japan East,Japan West,North Central US,North Europe,South Central US,West Europe,West US,Southeast Asia,Central US,East US 2
data:    Microsoft.Web/hostingEnvironments                                   Brazil South,East Asia,East US,Japan East,Japan West,North Central US,North Europe,South Central US,West Europe,West US,Southeast Asia,Central US,East US 2
data:    Microsoft.Web/hostingEnvironments/multiRolePools                    Brazil South,East Asia,East US,Japan East,Japan West,North Central US,North Europe,South Central US,West Europe,West US,Southeast Asia,Central US,East US 2
data:    Microsoft.Web/hostingEnvironments/workerPools                       Brazil South,East Asia,East US,Japan East,Japan West,North Central US,North Europe,South Central US,West Europe,West US,Southeast Asia,Central US,East US 2
data:    Microsoft.Web/managedHostingEnvironments                            Brazil South,East Asia,East US,Japan East,Japan West,North Central US,North Europe,South Central US,West Europe,West US,Southeast Asia,Central US,East US 2
data:    SuccessBricks.ClearDB/databases                                     Brazil South,Central US,East Asia,East US,East US 2,Japan East,Japan West,North Central US,North Europe,Southeast Asia,West Europe,West US,South Central US
data:    SuccessBricks.ClearDB/clusters                                      Brazil South,Central US,East Asia,East US,East US 2,Japan East,Japan West,North Central US,North Europe,Southeast Asia,West Europe,West US,South Central US
data:    Microsoft.ADHybridHealthService/services                            West US                                                                                                                                                    
data:    Microsoft.ADHybridHealthService/configuration                       West US                                                                                                                                                    
data:    Microsoft.ADHybridHealthService/operations                          West US                                                                                                                                                    
data:    Microsoft.ADHybridHealthService/agents                              West US                                                                                                                                                    
data:    Microsoft.ADHybridHealthService/aadsupportcases                     West US                                                                                                                                                    
data:    Microsoft.ADHybridHealthService/reports                             West US                                                                                                                                                    
data:    Microsoft.ADHybridHealthService/logs                                West US                                                                                                                                                    
data:    Microsoft.ADHybridHealthService/anonymousapiusers                   West US                                                                                                                                                    
data:    Microsoft.AppService/apiapps                                        East US,West US,South Central US,North Europe,East Asia,Japan East,West Europe,Southeast Asia,Japan West,North Central US,Central US,Brazil South,East US 2
data:    Microsoft.AppService/appIdentities                                  East US,West US,South Central US,North Europe,East Asia,Japan East,West Europe,Southeast Asia,Japan West,North Central US,Central US,Brazil South,East US 2
data:    Microsoft.AppService/gateways                                       East US,West US,South Central US,North Europe,East Asia,Japan East,West Europe,Southeast Asia,Japan West,North Central US,Central US,Brazil South,East US 2
data:    Microsoft.Automation/automationAccounts                             Japan East,East US 2,West Europe,Southeast Asia,South Central US                                                                                           
data:    Microsoft.Automation/automationAccounts/runbooks                    Japan East,East US 2,West Europe,Southeast Asia,South Central US                                                                                           
data:    Microsoft.Automation/operations                                     South Central US                                                                                                                                           
data:    Microsoft.BingMaps/mapApis                                          West US                                                                                                                                                    
data:    Microsoft.BizTalkServices/BizTalk                                   East US,West US,North Europe,West Europe,Southeast Asia,East Asia,North Central US,Japan West,Japan East,South Central US                                  
data:    Microsoft.ClassicNetwork/virtualNetworks                            East Asia,Southeast Asia,East US,East US 2,West US,North Central US,South Central US,Central US,North Europe,West Europe,Japan East,Japan West,Brazil South
data:    Microsoft.ClassicNetwork/reservedIps                                East Asia,Southeast Asia,East US,East US 2,West US,North Central US,South Central US,Central US,North Europe,West Europe,Japan East,Japan West,Brazil South
data:    Microsoft.Devices/checkNameAvailability                             East US,North Europe,East Asia                                                                                                                             
data:    Microsoft.Devices/IotHubs                                           East US,North Europe,East Asia                                                                                                                             
data:    Microsoft.DevTestLab/locations/operations                           East US,East US 2,West US,West Europe,East Asia,Southeast Asia,Japan East,Japan West                                                                       
data:    Microsoft.DocumentDB/databaseAccounts                               West US,North Europe,West Europe,East US,East Asia,Southeast Asia,South Central US                                                                         
data:    Microsoft.DocumentDB/databaseAccountNames                           West US,North Europe,West Europe,East US,East Asia,Southeast Asia,South Central US                                                                         
data:    Microsoft.DocumentDB/operations                                     West US,North Europe,West Europe,East US,East Asia,Southeast Asia,South Central US                                                                         
data:    Microsoft.DomainRegistration/domains                                global                                                                                                                                                     
data:    Microsoft.DomainRegistration/topLevelDomains                        global                                                                                                                                                     
data:    Microsoft.DomainRegistration/checkDomainAvailability                global                                                                                                                                                     
data:    Microsoft.DomainRegistration/listDomainRecommendations              global                                                                                                                                                     
data:    Microsoft.DomainRegistration/validateDomainRegistrationInformation  global                                                                                                                                                     
data:    Microsoft.DomainRegistration/generateSsoRequest                     global                                                                                                                                                     
data:    Microsoft.DomainRegistration/operations                             global                                                                                                                                                     
data:    Microsoft.DynamicsLcs/lcsprojects                                   Brazil South,East Asia,East US,Japan East,Japan West,North Central US,North Europe,South Central US,West Europe,West US,Southeast Asia,Central US,East US 2
data:    Microsoft.DynamicsLcs/lcsprojects/connectors                        Brazil South,East Asia,East US,Japan East,Japan West,North Central US,North Europe,South Central US,West Europe,West US,Southeast Asia,Central US,East US 2
data:    Microsoft.DynamicsLcs/lcsprojects/clouddeployments                  Brazil South,East Asia,East US,Japan East,Japan West,North Central US,North Europe,South Central US,West Europe,West US,Southeast Asia,Central US,East US 2
data:    Microsoft.DynamicsLcs/operations                                    Brazil South,East Asia,East US,Japan East,Japan West,North Central US,North Europe,South Central US,West Europe,West US,Southeast Asia,Central US,East US 2
data:    Microsoft.EventHub/namespaces                                       Central US,East US,East US 2,West US,North Central US,South Central US,East Asia,Southeast Asia,Brazil South,Japan East,Japan West,North Europe,West Europe
data:    Microsoft.Logic/workflows                                           North Central US,Central US,South Central US,North Europe,West Europe,East Asia,Southeast Asia,West US,East US,East US 2,Japan West,Japan East,Brazil South
data:    Microsoft.Logic/operations                                          North Central US,Central US,South Central US,North Europe,West Europe,East Asia,Southeast Asia,West US,East US,East US 2,Japan West,Japan East,Brazil South
data:    Microsoft.MarketplaceOrdering/agreements                            South Central US,West US                                                                                                                                   
data:    Microsoft.NotificationHubs/namespaces                               Central US,East US,East US 2,West US,North Central US,South Central US,East Asia,Southeast Asia,Brazil South,Japan East,Japan West,North Europe,West Europe
data:    Microsoft.NotificationHubs/namespaces/notificationHubs              Central US,East US,East US 2,West US,North Central US,South Central US,East Asia,Southeast Asia,Brazil South,Japan East,Japan West,North Europe,West Europe
data:    Microsoft.NotificationHubs/checkNamespaceAvailability               Central US,East US,East US 2,West US,North Central US,South Central US,East Asia,Southeast Asia,Brazil South,Japan East,Japan West,North Europe,West Europe
data:    Microsoft.NotificationHubs/billingTier                              Central US,East US,East US 2,West US,North Central US,South Central US,East Asia,Southeast Asia,Brazil South,Japan East,Japan West,North Europe,West Europe
data:    Microsoft.NotificationHubs/operations                               Central US,East US,East US 2,West US,North Central US,South Central US,East Asia,Southeast Asia,Brazil South,Japan East,Japan West,North Europe,West Europe
data:    Microsoft.Resources/resourceGroups                                  Central US,East Asia,Southeast Asia,East US,East US 2,West US,North Central US,South Central US,North Europe,West Europe,Japan East,Japan West,Brazil South
data:    Microsoft.Scheduler/jobcollections                                  North Central US,South Central US,North Europe,West Europe,East Asia,Southeast Asia,West US,East US,Japan West,Japan East,Brazil South,Central US,East US 2
data:    Microsoft.Scheduler/operations                                      North Central US,South Central US,North Europe,West Europe,East Asia,Southeast Asia,West US,East US,Japan West,Japan East,Brazil South,Central US,East US 2
data:    Microsoft.Search/searchServices                                     West US,East US,North Europe,West Europe,Southeast Asia,East Asia,North Central US,South Central US,Japan West,Brazil South                                
data:    Microsoft.ServiceBus/namespaces                                     Central US,East US,East US 2,West US,North Central US,South Central US,East Asia,Southeast Asia,Brazil South,Japan East,Japan West,North Europe,West Europe
data:    Microsoft.StreamAnalytics/streamingjobs                             Central US,West Europe,East US 2,North Europe,Japan East,West US,Southeast Asia,South Central US,East Asia,Japan West,North Central US,East US,Brazil South
data:    Microsoft.StreamAnalytics/locations                                 West Europe,Central US,East US 2,North Europe,Japan East,West US,Southeast Asia,South Central US,East Asia,Japan West,North Central US,East US,Brazil South
data:    Microsoft.StreamAnalytics/streamingjobs/diagnosticSettings          East US,East US 2,North Central US,North Europe,West Europe,Brazil South,West US,Central US,South Central US,Japan East,Japan West,East Asia,Southeast Asia
data:    Microsoft.StreamAnalytics/streamingjobs/metricDefinitions           East US,East US 2,North Central US,North Europe,West Europe,Brazil South,West US,Central US,South Central US,Japan East,Japan West,East Asia,Southeast Asia
data:    Microsoft.StreamAnalytics/operations                                West Europe,West US,Central US,East US 2,North Europe,Japan East,Southeast Asia,South Central US,East Asia,Japan West,North Central US,East US,Brazil South
data:    microsoft.support/operations                                        North Central US,South Central US,Central US,West Europe,North Europe,West US,East US,East US 2,Japan East,Japan West,Brazil South,Southeast Asia,East Asia
data:    microsoft.support/supporttickets                                    North Central US,South Central US,Central US,West Europe,North Europe,West US,East US,East US 2,Japan East,Japan West,Brazil South,Southeast Asia,East Asia
